num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,100,11.865833333333333,1.5821221244476251,11.822541666666675,1.5030160182252457,0.7141674279378895,0.06232100615050391
4,2,LMM-2,100,11.8375,1.6156945101101259,11.795625000000006,1.5349097846046216,0.7150541898554746,0.06151940636135385
4,4,LMM-1,100,11.854791666666667,1.5555413240296412,11.812052083333322,1.4777642578281565,0.6624009367319714,0.0712200568279571
4,4,LMM-2,100,11.8140625,1.5963223895695293,11.773359374999986,1.51650627009105,0.6643727268945423,0.06939394204827837
4,6,LMM-1,100,11.851666666666667,1.535103497134177,11.809083333333309,1.4583483222774645,0.6244961526625799,0.07864431921992421
4,6,LMM-2,100,11.810833333333333,1.5717801940459302,11.770291666666642,1.4931911843436299,0.6268080238594046,0.07648583352931292
4,8,LMM-1,100,11.853541666666667,1.511016992766976,11.886067708333313,1.6227741138301228,0.5888540213806739,0.08571308603801306
4,8,LMM-2,100,11.810989583333333,1.550062704369826,11.808143229166646,1.5307480761558672,0.59268204073487,0.08355127398499507
6,2,LMM-1,100,10.917916666666667,1.5870729412454028,10.92202083333334,1.5077192941831346,0.7303368461298383,0.060998451024072864
6,2,LMM-2,100,10.772916666666667,1.7410821886114394,10.782895833333342,1.6581450451891786,0.7361997773326949,0.05678564059080533
6,4,LMM-1,100,10.896041666666667,1.5688053194097518,10.901239583333322,1.490365053439262,0.6795009563765056,0.07070872963686572
6,4,LMM-2,100,10.776875,1.673274128994974,10.78734374999999,1.5912274861414073,0.685914490099193,0.06509222721684614
6,6,LMM-1,100,10.90763888888889,1.555640343671385,10.91225694444442,1.4778583264878122,0.6411664485206648,0.0775329350506194
6,6,LMM-2,100,10.76138888888889,1.681435008637445,10.772861111111087,1.5983266280803972,0.6520301502684552,0.07006461109321839
6,8,LMM-1,100,10.931666666666667,1.5233201129987968,10.935083333333314,1.447154107348855,0.6082984221010129,0.08208801436491574
6,8,LMM-2,100,10.786354166666667,1.6425524359283954,10.796864583333313,1.5607630553660774,0.6203724845139703,0.07303625220402543
8,2,LMM-1,100,9.767083333333334,1.4531586166959811,9.828729166666673,1.380500685861184,0.7551261971365847,0.05885227346048294
8,2,LMM-2,100,9.492916666666666,1.6493059883040369,9.566895833333339,1.569324122892074,0.7664876570001065,0.05289132774089641
8,4,LMM-1,100,9.774166666666666,1.402839135071762,9.835458333333323,1.3326971783181722,0.702774957878129,0.07088297018934586
8,4,LMM-2,100,9.496354166666666,1.5749093165857995,9.570848958333324,1.4973960443025196,0.7206308425852977,0.06337170928371805
8,6,LMM-1,100,9.813958333333334,1.4046554042152293,9.873260416666646,1.3344226340044651,0.6617622319317661,0.0818325384117656
8,6,LMM-2,100,9.461875,1.6395121504972405,9.538093749999978,1.5587930667288195,0.6900162641785381,0.07146799137668607
8,8,LMM-1,100,9.814270833333333,1.4077292027398336,9.87355729166665,1.3373427426028401,0.6317592602991823,0.08766166738615458
8,8,LMM-2,100,9.465729166666666,1.606953102843883,9.541927083333317,1.5273983592645723,0.6648306106016285,0.0740267969328657
10,2,LMM-1,100,8.7475,1.424757167418754,8.860125000000005,1.3535193090478177,0.7661567418987302,0.05282368009311377
10,2,LMM-2,100,8.295416666666666,1.63970213462012,8.428583333333338,1.560362102127884,0.7844941562708359,0.04654274827436888
10,4,LMM-1,100,8.747395833333334,1.3544826354130262,8.860026041666657,1.2867585036423734,0.7144347632622151,0.06167502164633806
10,4,LMM-2,100,8.284583333333334,1.5961092831476171,8.419666666666657,1.5171549947170153,0.7417059965993447,0.05423301629730536
10,6,LMM-1,100,8.768611111111111,1.3467986447521294,8.880180555555535,1.2794587125145205,0.6772275143648337,0.06893119396832709
10,6,LMM-2,100,8.210277777777778,1.642186559904466,8.348923611111093,1.5610772083080922,0.716550176916674,0.06170580414663631
10,8,LMM-1,100,8.791822916666666,1.3180974505757947,8.902231770833318,1.2521925780470031,0.6451670903583998,0.07589637667404266
10,8,LMM-2,100,8.245520833333334,1.6123209990278766,8.382213541666651,1.5329988996149657,0.6922938010085699,0.0635377512076994
