num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,100,11.93,1.6405334498266104,11.883500000000009,1.5585067773352819,0.7773111906700677,0.03214127876096183
4,2,LMM-2,100,11.8875,1.7052767370723145,11.84312500000001,1.6200129002187007,0.7783132046723145,0.03402655877804124
4,4,LMM-1,100,11.935,1.6395959868211436,11.888249999999987,1.5576161874800838,0.743470049111609,0.0396690040409946
4,4,LMM-2,100,11.8775,1.7282559850901718,11.833624999999989,1.6418431858356604,0.7449212008236534,0.04244102285143136
4,6,LMM-1,100,11.955,1.6129863607606854,11.907249999999975,1.5323370427226473,0.7180578982520005,0.046314903896937806
4,6,LMM-2,100,11.890833333333333,1.7111844095051045,11.846291666666641,1.6256251890298452,0.7198779330747159,0.04952648192214961
4,8,LMM-1,100,11.9725,1.5747599023343208,11.990531249999979,1.6567287901704622,0.6946173529385478,0.06154699963286677
4,8,LMM-2,100,11.9,1.6885644790768282,11.88415624999998,1.640320046360521,0.6969196281389497,0.06484432862671972
6,2,LMM-1,100,10.885,1.6864978505767507,10.890750000000008,1.6021729580479152,0.8075299398196886,0.032627613212494466
6,2,LMM-2,100,10.715,1.9332679586648096,10.726500000000009,1.848455672987591,0.8111089402349996,0.0380883618208639
6,4,LMM-1,100,10.8875,1.6827711519989876,10.893124999999989,1.598632594399036,0.7764403431298814,0.03999428094661619
6,4,LMM-2,100,10.6825,1.957391440157027,10.695624999999989,1.8711824678862805,0.781977526336845,0.0471434765601806
6,6,LMM-1,100,10.885,1.6207328589252457,10.890749999999976,1.5396962159789798,0.7527072135149617,0.047202261367493434
6,6,LMM-2,100,10.628333333333332,1.9500149572075938,10.644166666666642,1.8641427319279993,0.7600649935791968,0.05600646010629495
6,8,LMM-1,100,10.945,1.630023005972615,10.94774999999998,1.5485218556739822,0.7313898040943198,0.055915228445831314
6,8,LMM-2,100,10.675625,1.9798732401027597,10.689093749999982,1.8923990898934815,0.7406111804138362,0.06584327048411269
8,2,LMM-1,100,9.865,1.5481521243082024,9.921750000000007,1.4707445180927943,0.8338759916952341,0.02951747318945185
8,2,LMM-2,100,9.365,1.9765563488046578,9.441250000000005,1.8904732377106022,0.8445668164922737,0.039596452334680725
8,4,LMM-1,100,9.8525,1.5455965676721724,9.909874999999989,1.468316739288562,0.8046243160630405,0.03608057953200313
8,4,LMM-2,100,9.2775,1.9847528183630323,9.35812499999999,1.899514637841728,0.8220351048821639,0.050514809546223206
8,6,LMM-1,100,9.875,1.5473768125443783,9.931249999999979,1.4700079719171564,0.7820221243259776,0.04189252348285894
8,6,LMM-2,100,9.198333333333334,2.052666964382354,9.282916666666646,1.9635287908507946,0.8042750417177364,0.06090898609653021
8,8,LMM-1,100,9.875,1.4935277031243845,9.931249999999983,1.4188513179681634,0.7661408613807417,0.048405048651875206
8,8,LMM-2,100,9.13125,2.1000837036889743,9.219187499999983,2.008300744138247,0.7891629874817789,0.06880748718802926
10,2,LMM-1,100,8.9675,1.589675674469481,9.069125000000005,1.5101918907460086,0.8564737873718782,0.029444155699983796
10,2,LMM-2,100,8.24,1.960522889435367,8.373875000000005,1.8742599331136027,0.8718736225933182,0.03866731386149747
10,4,LMM-1,100,8.96,1.5928433695753013,9.06199999999999,1.5132012010965348,0.8310872681094138,0.0358786601945515
10,4,LMM-2,100,7.96625,2.0847553063849005,8.113812499999991,1.9907169906138695,0.858395986108681,0.05107826209006257
10,6,LMM-1,100,8.955,1.515494968648857,9.05724999999998,1.4397202202164112,0.8115241159351626,0.04090725231467605
10,6,LMM-2,100,7.8966666666666665,2.0577468800176133,8.046333333333315,1.9664138502755564,0.8446597734319922,0.060144820795999865
10,8,LMM-1,100,8.9525,1.4114243692100543,9.054874999999983,1.3408531507495496,0.796306728435258,0.043175724037198604
10,8,LMM-2,100,7.804375,2.0800325831282067,7.957281249999985,1.9899123555114617,0.8339089713702965,0.06651996741612895
